Day,Cut.Rate,Person,KEL
1,7.959,KEL,1
3,8.085,KEL,1
4,11.996,KEL,1
7,7.165,KEL,1
9,13.017,KEL,1
10,16.947,KEL,1
14,5.844,KEL,1
16,6.774,KEL,1
21,5.198,KEL,1
23,5.685,KEL,1
24,4.777,KEL,1
28,4.649,KEL,1
29,8.961,KEL,1
32,6.266,KEL,1
42,5.981,KEL,1
43,5.539,KEL,1
45,5.375,KEL,1
49,6.484,KEL,1
59,2.996,KEL,1
60,4.378,KEL,1
63,8.372,KEL,1
64,6.748,KEL,1
66,4.464,KEL,1
1,4.154,SSS,0
2,4.08,SSS,0
3,4.398,SSS,0
8,6.129,SSS,0
9,7.764,SSS,0
10,5.385,SSS,0
14,3.673,SSS,0
15,2.928,SSS,0
16,3.371,SSS,0
22,7.317,SSS,0
23,4.263,SSS,0
28,5.447,SSS,0
30,7.214,SSS,0
31,1.578,SSS,0
42,3.569,SSS,0
43,2.996,SSS,0
44,3.538,SSS,0
49,2.574,SSS,0
50,4.67,SSS,0
51,3.091,SSS,0
65,3.164,SSS,0
